AP節點				SIT						UAT						STG						PRD
微服務-Owner		PTAPMGRSIT				PTAPMGRUAT				INEBAPMGR				INEBAPMGR
微服務-User(行銀)	EBMWUSRSIT01			EBMWUSRUAT01			EBMWUSR01				EBMWUSR01
微服務-User(批次)	EBMWUSRSIT02			EBMWUSRUAT02			EBMWUSR02				EBMWUSR02
微服務-User(網銀)	EBMWUSRSIT03			EBMWUSRUAT03			EBMWUSR03				EBMWUSR03
AP Role (讀/寫)		EBMWMOD_AP_ROLE_SIT		EBMWMOD_AP_ROLE_UAT		EBMWMOD_AP_ROLE			EBMWMOD_AP_ROLE
人員 Role (唯讀)	EBMWQRY_AP_ROLE_SIT		EBMWQRY_AP_ROLE_UAT		EBMWQRY_AP_ROLE			EBMWQRY_AP_ROLE
後台-Owner			EBMWOPMGRSIT			EBMWOPMGRUAT			EBMWOPMGR				EBMWOPMGR
後台-User			EBMWOPUSRSIT			EBMWOPUSRUAT			EBMWOPUSR				EBMWOPUSR
MobileFirst-Owner	MFPMGRSIT				MFPMGRUAT				MFPMGRSTG				MFPMGR
MobileFirst-User	MFPUSRSIT				MFPUSRUAT				MFPUSRSTG				MFPUSR
RMS-ETL User		-						DW_ETLEBMWSI01USR			-					DW_ETLEBMWSI01USR
